 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
    0.0000    1.0000   44.9000   44.9000    5.4598    1.0020    4.6272    0.0000  1.0000E-10      0.0000  8.4190E+02
    0.2212    1.0000   44.7510   44.7510    5.4691    1.0145    4.6233    0.0000  1.0000E-10      0.0000  8.0297E+02
    0.4427    1.0000   44.5943   44.5943    5.4787    1.0271    4.6194    0.0000  1.0000E-10     -0.0004  7.6376E+02
    0.6647    1.0000   44.4291   44.4291    5.4887    1.0399    4.6155    0.0000  1.0000E-10     -0.0013  7.2404E+02
    0.8871    1.0000   44.2548   44.2548    5.4990    1.0531    4.6115    0.0000  1.0000E-10     -0.0028  6.8363E+02
    1.1100    1.0000   44.0705   44.0705    5.5097    1.0669    4.6073    0.0000  1.0000E-10     -0.0048  6.4241E+02
    1.3334    1.0000   43.8752   43.8752    5.5206    1.0813    4.6028    0.0000  1.0000E-10     -0.0075  6.0027E+02
    1.5574    1.0000   43.6679   43.6679    5.5319    1.0966    4.5979    0.0000  1.0000E-10     -0.0111  5.5718E+02
    1.7820    1.0000   43.4472   43.4472    5.5434    1.1129    4.5927    0.0000  1.0000E-10     -0.0155  5.1317E+02
    2.0071    1.0000   43.2116   43.2116    5.5551    1.1303    4.5869    0.0000  1.0000E-10     -0.0210  4.6832E+02
    2.2330    1.0000   42.9595   42.9595    5.5670    1.1490    4.5805    0.0000  1.0000E-10     -0.0278  4.2276E+02
    2.4597    1.0000   42.6887   42.6887    5.5790    1.1693    4.5733    0.0000  1.0000E-10     -0.0359  3.7669E+02
    2.6871    1.0000   42.3969   42.3969    5.5911    1.1916    4.5652    0.0000  1.0000E-10     -0.0458  3.3032E+02
    2.9155    1.0000   42.0812   42.0812    5.6031    1.2163    4.5559    0.0000  1.0000E-10     -0.0576  2.8392E+02
    3.1448    1.0000   41.7378   41.7378    5.6151    1.2444    4.5449    0.0000  1.0000E-10     -0.0718  2.3777E+02
    3.3752    1.0000   41.3622   41.3622    5.6270    1.2772    4.5314    0.0000  1.0000E-10     -0.0890  1.9226E+02
    3.5918    1.0000   40.9745   40.9745    5.6376    1.3140    4.5157    0.0000  1.0000E-10     -0.1085  1.5077E+02
    3.7705    1.0000   40.6218   40.6218    5.6460    1.3506    4.4995    0.0000  1.0000E-10     -0.1277  1.1808E+02
    3.9200    1.0000   40.2987   40.2987    5.6525    1.3869    4.4829    0.0000  1.0000E-10     -0.1467  9.2317E+01
    4.0476    1.0000   39.9986   39.9986    5.6576    1.4232    4.4661    0.0000  1.0000E-10     -0.1653  7.1964E+01
